domain,organization
"2014bonds.cityofws.org","City of Winston-Salem"
"amopen.amo.on.ca","Municipalities of Ontario"
"apd-data.albanyny.gov","City of Albany Police Department"
"bchi.bigcitieshealth.org","The Big Cities Health Coalition (BCHC)"
"bea.data.commerce.gov","The Bureau of Economic Analysis (BEA)"
"bis.data.commerce.gov","The Bureau of Industry and Security (BIS)"
"brigades.opendatanetwork.com","Brigade Open Data Sharing Platform"
"bronx.lehman.cuny.edu","Lehman College"
"bythenumbers.sco.ca.gov","California State Controller Office"
"census.data.commerce.gov","U.S. Census Bureau"
"chhs.data.ca.gov","California Health and Human Services - State of California"
"chronicdata.cdc.gov","Centers for Disease Control and Prevention (CDC)"
"churned-data.awcnet.org","Association of Washington Cities"
"cipdata.cityofnovi.org","City of Novi"
"controllerdata.lacity.org","Los Angeles City Controller"
"corstat.coronaca.gov","City of Corona"
"daisi.datacenterresearch.org","Southeast Louisiana New Orleans Data Center"
"dashboard.alexandriava.gov","City of Alexandria"
"dashboard.edmonton.ca","City of Edmonton"
"dashboard.hawaii.gov","State of Hawaii"
"dashboard.plano.gov","City of Plano"
"dashboard.slco.org","Salt Lake County"
"dashboarddata.caloes.ca.gov","California State Governor's Office of Emergency Services (Cal OES)"
"data.acgov.org","Alameda County"
"data.albanyny.gov","City of Albany"
"data.auburnwa.gov","City of Auburn"
"data.austintexas.gov","City of Austin"
"data.baltimorecity.gov","City of Baltimore"
"data.brla.gov","City of Baton Rouge"
"data.buffalony.gov","City of Buffalo"
"data.burlingtonvt.gov","City of Burlington"
"data.calgary.ca","City of Calgary"
"data.cambridgema.gov","City of Cambridge"
"data.cdc.gov","Centers for Disease Control and Prevention (CDC)"
"data.cese.nsw.gov.au","Australia Centre for Education Statistics and Evaluation"
"data.chattlibrary.org","Chattanooga Public Library"
"data.cic.mx","Centro de Información Ciudadana"
"data.cincinnati-oh.gov","City of Cincinnati"
"data.cityofberkeley.info","City of Berkeley"
"data.cityofboston.gov","City of Boston"
"data.cityofchicago.org","City of Chicago"
"data.cityofevanston.org","City of Evanston"
"data.cityofgainesville.org","City of Gainesville"
